"","id","vf_age","vf_party","vf_racename","vf_female","vf_black","vf_white","vf_hispanic","vf_vg_14","vf_vg_12","vf_vg_10","vf_democrat","vf_republican","miami_trans_law_t0","miami_trans_law2_t0","gender_norm_daugher_t0","gender_norm_looks_t0","gender_norm_rights_t0","gender_norms_sexchange_t0","gender_norms_moral_t0","gender_norms_abnormal_t0","gender_norm_trans_moral_wrong_t0","ssm_t0","therm_obama_t0","therm_gay_t0","therm_trans_t0","therm_marijuana_t0","therm_afams_t0","ideology_t0","religious_t0","respondent_t0","exposure_gay_t0","exposure_trans_t0","pid_t0","scale_for_blocking_t0","survey_language_t0","miami_trans_law_t1","miami_trans_law2_t1","therm_obama_t1","therm_trans_t1","therm_marijuana_t1","gender_norm_looks_t1","gender_norm_rights_t1","gender_norm_sexchange_t1","gender_norm_moral_t1","gender_norm_abnormal_t1","gender_norm_trans_moral_wrong_t1","respondent_t1","miami_trans_law_t2","miami_trans_law2_t2","therm_obama_t2","therm_jbush_t2","therm_trans_t2","therm_police_t2","therm_firefighters_t2","gender_norm_looks_t2","gender_norm_rights_t2","gender_norm_moral_t2","gender_norm_dress_t2","gender_norm_sexchange_t2","gender_norm_abnormal_t2","gender_norm_trans_moral_wrong_t2","trans_teacher_t2","trans_bathroom_t2","respondent_t2","miami_trans_law_withdef_t3","miami_trans_law2_withdef_t3","therm_obama_t3","therm_jbush_t3","therm_trans_t3","therm_police_t3","therm_firefighters_t3","gender_norm_looks_t3","gender_norm_rights_t3","gender_norm_moral_t3","gender_norm_dress_t3","gender_norm_sexchange_t3","gender_norm_abnormal_t3","gender_norm_trans_moral_wrong_t3","trans_teacher_t3","trans_bathroom_t3","trans_ad_displayed_t3","trans_law_post_ad_t3","respondent_t3","nfc_t3","miami_trans_law_withdef_t4","miami_trans_law2_withdef_t4","therm_obama_t4","therm_trans_t4","therm_mousavi_t4","gender_norm_looks_t4","gender_norm_rights_t4","gender_norm_moral_t4","gender_norm_dress_t4","gender_norm_sexchange_t4","gender_norm_abnormal_t4","gender_norm_trans_moral_wrong_t4","trans_teacher_t4","trans_bathroom_t4","respondent_t4","marijuana_pread1","marijuana_pread2","marijuana_postad","exp_actual_convo","contacted","survey_language_es","sdo_scale","treat_ind","canvass_recycling_rating","canvass_trans_ratingstart","canvass_trans_ratingsecond","canvass_trans_ratingend","canvass_minutes","canvasser_experience","canvasser_trans","canvasser_id","hh_id","block_ind","cluster_level_t0_scale_mean","vf_independent","all.dvs.t1","trans.tolerance.dv.t0","trans.tolerance.dv.t1","miami_trans_law_t0_avg","miami_trans_law_t1_avg","gender_nonconformity_t0","gender_nonconformity_t1","treatment.delivered","t1.resid"
"66556",65698,29,"D","African American",0,1,0,0,0,1,0,1,0,2,-1,1,-2,-1,-2,-2,-1,2,-3,83,0,0,94,49,2,0,1,1,0,0,-1.45033025741577,"",2,-2,71,3,83,-2,-2,-2,-2,-2,-2,1,3,-1,50,0,29,0,87,-2,-2,-2,-2,-2,2,2,-2,-2,1,2,0,50,50,5,24,91,-2,0,-2,-2,-2,0,-2,0,0,"Yes, I could see and hear the ad",0,1,-0.179102078080177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"Recycling",1,0,-6.6307687118794e-10,0,"Undecided",NA,NA,NA,3,"No",0,35,"june20_10026","june20_16",-1.45033025741577,0,-2.07456302307965,-1.940303318255,-2.23045673801869,0.5,0,-0.880250101748978,-1.30883732249572,FALSE,-0.392003608525093
"66558",34091,35,"D","African American",1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,100,50,50,50,100,3,2,1,1,0,3,0.0830728486180305,"",3,3,100,100,100,2,-2,0,0,2,0,1,3,3,100,100,100,100,50,0,2,0,0,0,1,0,2,0,1,3,3,50,50,100,100,100,0,0,0,0,0,2,0,2,0,"Yes, I could see and hear the ad",3,1,1.01065123081207,3,3,94,99,95,-2,-2,-2,0,0,-2,2,0,2,1,0,3,0,"Trans-Equality",1,0,0.0711129382252693,1,"",5,10,10,13,"Yes",1,56,"june20_10048","june20_305",0.559489369392395,0,0.981637099176387,-0.0845401336505679,0.807246958762083,0,3,0.547622133241092,0.456756809811638,TRUE,0.824031596800984
"66561",22968,63,"D","African American",1,1,0,0,1,1,1,1,0,0,-3,0,0,0,0,0,0,0,0,100,50,50,50,100,2,0,1,1,1,1,0.0140882264822721,"",0,2,100,50,41,0,0,0,0,0,0,1,3,0,50,0,50,50,100,2,0,0,0,-1,0,0,0,0,1,0,0,100,50,50,50,100,0,0,0,0,0,0,0,0,0,"Yes, I could see and hear the ad",2,1,-0.682037174701691,0,0,100,50,50,0,0,0,0,0,0,0,0,0,1,0,3,0,"Trans-Equality",1,0,-0.550337672233582,1,"",5,10,10,12,"Yes",1,56,"june20_10104","june20_289",0.0249976254999638,0,-0.193447589150985,-0.0845401336505679,-0.0961481004795024,-1.5,1,0.547622133241092,0.559228919758662,TRUE,0.0389698462432814
"66563",38268,51,"N","Caucasian",1,0,1,0,1,1,0,0,0,2,2,1,0,-2,0,0,1,-1,2,0,58,47,50,61,0,3,1,1,1,0,0.138925403356552,"",-1,-1,0,30,50,0,0,1,-1,0,0,1,3,1,9,30,50,80,100,0,-1,0,1,1,1,0,-1,-2,1,1,1,0,50,50,70,100,0,-1,0,-1,1,0,0,-1,-2,"Yes, I could see and hear the ad",-3,1,1.05831050872803,1,2,0,50,21,0,0,1,0,1,1,0,1,-2,1,0,3,0,"Recycling",1,0,-0.101048409938812,0,"In Favor",NA,NA,NA,0,"Yes",0,50,"june20_10106","june20_148",0.138925403356552,1,-0.846974471496779,0.144804956482562,-0.321581287218878,2,-1,-0.440005277800652,0.559228919758662,FALSE,-0.499240969708705
"66565",63418,26,"D","African American",1,1,0,0,1,1,0,1,0,2,0,2,-2,0,0,0,-1,0,0,75,80,74,74,100,0,2,1,1,0,3,0.039139810949564,"",0,2,74,50,70,-2,-1,0,0,0,0,1,2,0,50,50,50,50,50,-1,1,0,-1,1,0,1,-1,-1,1,0,2,50,50,50,50,50,-1,-1,0,-1,1,0,0,-1,-1,"Yes, I could see and hear the ad",0,1,0.279513299465179,2,2,77,50,50,-2,-1,0,-2,0,0,0,-1,-1,1,1,0,1,"Recycling",1,0,-6.6307687118794e-10,0,"Undecided",NA,NA,NA,1,"Yes",1,56,"june20_10197","june20_136",0.039139810949564,0,-0.193447589150985,-0.0721288443019816,-0.0961481004795024,1,1,-0.386436396228105,-0.816202734445365,FALSE,0.0313161062778093
"66568",11223,62,"D","African American",1,1,0,0,1,1,1,1,0,3,3,1,-1,-2,1,1,1,-1,-2,100,73,76,25,97,-2,2,1,1,0,3,0.450416833162308,"",3,3,100,84,62,-2,-1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,50,50,72,72,84,-2,-2,-1,-2,1,1,0,-1,-1,"",0,1,0.314333558082581,3,3,50,62,56,-2,-1,-1,-2,1,1,1,1,1,1,0,2,0,"Trans-Equality",1,0,-0.9012371301651,1,"",10,10,10,20,"No",1,45,"june20_10253","june20_291",0.0567084699869156,0,1.164466945361,0.986794525085087,1.06734309638099,3,3,-0.907034542535251,-0.816202734445365,TRUE,0.742866524990455
"66569",21072,20,"D","African American",0,1,0,0,1,0,0,1,0,2,2,-1,-2,-2,0,-1,1,-1,-3,100,40,50,68,90,-1,2,1,0,0,3,-0.336999893188477,"",1,0,100,50,50,-2,-2,2,0,-2,-2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,0,0,50,50,50,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,"Trans-Equality",1,0,-0.759921252727509,1,"",10,10,10,20,"No",1,45,"june20_10253","june20_291",0.0567084699869156,0,-0.6956080669521,-0.0760326627220169,-0.616735913164824,2,0.5,-1.37406380726985,-1.30883732249572,TRUE,-0.065033746000826
"66578",14701,51,"R","Caucasian",1,0,1,0,1,1,1,0,1,-3,-3,-2,-1,-2,-2,1,-2,1,-2,7,100,50,100,100,-3,5,1,1,0,-2,-0.810814738273621,"",-3,-3,23,50,50,-1,-2,-2,1,-2,1,1,-3,-3,30,62,50,61,97,-1,-2,0,-1,-2,-2,1,-1,-2,1,-3,-3,50,38,50,80,50,-1,-2,0,0,-2,-2,-1,-1,-1,"Yes, I could see and hear the ad",-3,1,0.212351188063622,-3,-2,50,78,50,0,-2,1,-1,-2,-2,0,-1,-2,1,0,-2,1,"Trans-Equality",1,0,0.418869495391846,0,"",NA,NA,NA,1,"Yes",0,7,"june20_10484","june20_52",-0.810814738273621,0,-1.44817923957328,-0.862451872156486,-0.460891853878932,-3,-3,-0.907034542535251,-0.867438789418877,FALSE,0.252627632334479
"66612",66453,53,"R","Caucasian",1,0,1,0,0,1,1,0,1,3,3,2,2,0,2,2,2,-2,3,95,100,100,98,100,3,2,1,1,1,3,1.76535618305206,"",3,3,50,50,100,1,-2,2,2,2,2,1,3,3,70,50,100,100,100,2,2,2,2,2,2,2,2,2,1,3,3,50,50,50,50,100,0,-1,2,0,2,2,2,2,2,"Yes, I could see and hear the ad",3,1,0.279513299465179,3,3,76,100,50,0,1,2,2,2,2,2,2,1,1,1,3,1,"Trans-Equality",1,0,-0.674086451530457,1,"",NA,NA,NA,5,"Yes",1,42,"june20_11090","june20_238",1.76535618305206,0,1.54691539786356,2.03510476672724,1.60693832084327,3,3,1.48168066271029,0.0153582767347996,FALSE,-0.0459024887733999
"66616",20435,66,"D","Hispanic",1,0,0,1,1,1,1,1,0,3,2,-1,0,-1,1,0,1,-1,2,88,65,64,64,64,2,3,1,1,1,3,0.54099178314209,"",3,2,94,89,50,0,-2,2,1,1,1,1,3,2,87,1,84,50,93,-1,-1,1,-1,1,0,0,1,0,1,2,2,50,0,70,100,100,-1,0,0,0,1,0,1,1,1,"Yes, I could see and hear the ad",3,1,-0.0133608430624008,3,2,50,50,11,0,-2,1,0,1,0,1,0,0,1,0,2,0,"Trans-Equality",1,0,0.114484965801239,1,"",10,NA,NA,2,"No",0,39,"june20_11135","june20_174",0.54099178314209,0,1.22178128139624,0.593273777679281,1.29632277789733,2.5,2.5,0.0538084277202204,-0.426040256342039,TRUE,0.581483698991189
"66619",53765,64,"D","African American",1,1,0,0,1,1,1,1,0,0,0,0,0,0,-1,0,1,0,0,100,36,36,42,100,0,1,1,1,0,2,-0.218755483627319,"",0,0,100,30,40,-1,-1,-1,0,0,0,1,0,1,100,67,36,61,100,-1,-1,0,-1,-1,1,0,0,0,1,1,1,100,60,40,50,50,-1,-1,0,-1,0,1,0,-1,0,"Yes, I could see and hear the ad",-1,1,-0.731295585632324,0,0,100,50,50,-1,-1,0,0,0,1,1,0,0,1,1,1,1,"Recycling",1,0,0.0162582490593195,0,"Against",NA,NA,NA,2,"Yes",0,1,"june20_11199","june20_101",-0.218755483627319,0,-0.73099500341302,-0.234590613433666,-0.462751893554274,0,0,0.547622133241092,-0.374804201368527,FALSE,-0.293687136099806
"66620",26821,57,"D","Caucasian",1,0,1,0,1,1,1,1,0,3,3,-1,0,0,1,0,2,-1,2,83,100,80,9,100,1,0,1,1,0,3,1.15626442432404,"",1,2,50,59,0,-2,0,0,0,0,0,1,2,2,84,45,57,100,100,-1,-1,0,0,0,1,1,0,0,1,1,1,85,30,50,81,50,-1,-1,0,-1,0,1,0,0,0,"Yes, I could see and hear the ad",-1,1,-0.879242539405823,1,1,50,75,50,-1,0,0,0,1,0,0,0,0,1,0,2,0,"Recycling",1,0,-0.722464382648468,0,"Against",NA,NA,NA,2,"No",0,39,"june20_1122","june20_213",1.15626442432404,0,-0.0109507309981211,1.04135083020063,-0.013573633544444,3,1.5,0.547622133241092,-0.323568146395015,FALSE,-1.1848857965802
"66624",23640,61,"N","Hispanic",0,0,0,1,1,0,0,0,0,3,2,-1,-1,-1,1,-1,1,-1,2,9,50,50,50,85,0,0,1,1,0,-1,0.0905902534723282,"",3,3,50,50,50,-1,1,1,1,1,1,1,3,2,11,92,50,100,100,-1,0,1,-1,1,1,1,-1,-1,1,3,2,50,61,50,93,90,-1,-1,0,-1,1,1,1,-1,-1,"Yes, I could see and hear the ad",-3,1,0.643627107143402,3,1,0,54,50,-1,-1,1,-1,1,1,1,0,2,1,0,1,0,"Recycling",1,0,-0.202663913369179,0,"In Favor",NA,NA,NA,1,"No",0,39,"june20_1125","june20_142",0.0905902534723282,1,0.911452342486242,0.176728613179979,0.755395110181884,2.5,3,-0.413220837014379,0.610464974732174,FALSE,0.452890608290106
"66627",57383,82,"D","Hispanic",1,0,0,1,1,1,1,1,0,2,-1,0,-1,1,2,0,-1,-1,-1,28,49,50,50,37,-1,5,1,0,0,3,-0.422684550285339,"",0,0,50,50,50,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Trans-Equality",1,0,0.830534279346466,1,"",8,8,10,19,"No",0,43,"june20_11320","june20_271",-0.541642665863037,0,-0.439186914966468,0.157100702380048,-0.0961481004795024,0.5,0,0.574406574027365,0.559228919758662,TRUE,-0.0768844448748852
"66632",14208,50,"D","African American",1,1,0,0,1,1,1,1,0,2,2,-1,-1,-1,0,1,1,-1,1,91,50,50,0,100,0,2,1,1,0,2,0.261100769042969,"",2,2,90,81,50,1,0,1,1,1,1,1,2,2,50,26,71,25,50,0,-1,1,0,1,1,0,1,1,1,2,2,75,10,75,10,50,0,-1,1,0,1,1,1,1,1,"Yes, I could see and hear the ad",2,1,0.643627107143402,2,2,50,90,50,1,0,1,0,1,1,1,1,1,1,0,1,0,"Trans-Equality",1,0,-0.887037575244904,1,"",10,10,10,20,"No",0,35,"june20_11449","june20_159",0.261100769042969,0,0.903750060101819,0.434715826967632,1.03981827406931,2,2,-0.413220837014379,1.0006274528355,TRUE,0.820036245617703
"66633",38956,58,"D","African American",1,1,0,0,0,1,0,1,0,2,3,-1,0,1,1,-1,0,1,0,100,50,50,50,100,0,5,1,1,0,2,-0.104924418032169,"",3,3,100,50,50,0,-2,0,0,-1,-2,1,3,3,100,50,50,100,100,-1,-2,0,-1,0,-1,-1,1,0,1,3,2,100,50,50,50,100,0,-1,0,-1,0,1,0,1,0,"Yes, I could see and hear the ad",1,1,0.0744263604283333,3,3,50,50,50,0,-1,-1,-1,0,0,-1,1,1,1,0,1,0,"Recycling",1,0,1.12862813472748,0,"Against",NA,NA,NA,0,"No",1,5,"june20_11467","june20_115",-0.104924418032169,0,-0.215122450683236,-0.0871531025933965,-0.760621858135143,2.5,3,1.04143583876196,-0.426040256342039,FALSE,-0.890106970583966
"66637",32559,68,"R","Caucasian",1,0,1,0,0,1,0,0,1,3,3,-2,2,2,2,2,2,-2,3,74,100,100,50,100,-1,5,1,1,0,-2,1.6520619392395,"",3,3,60,100,50,2,0,1,2,0,2,1,3,3,75,42,99,88,50,2,1,2,1,1,1,2,1,1,1,3,3,50,68,98,92,50,1,1,2,1,1,1,2,1,1,"Yes, I could see and hear the ad",2,1,1.31434082984924,2,2,50,95,50,1,0,1,0,0,0,1,-1,0,1,0,0,0,"Trans-Equality",1,0,0.757544755935669,1,"",10,NA,NA,0,"No",1,5,"june20_1149","june20_354",1.63949108123779,0,1.44245221337809,2.03510476672724,1.43793236099436,3,3,2.46930807375203,1.44202598591234,TRUE,-0.3754113302374
"66642",56471,28,"N","African American",1,1,0,0,0,1,0,0,0,-2,-2,0,-1,-1,-1,-1,-1,1,-2,100,15,14,50,78,0,1,1,1,0,0,-1.05914843082428,"",0,0,81,19,61,-2,-1,-1,-2,-1,-2,1,0,0,83,50,27,83,90,-2,-1,-1,-2,-1,-1,1,0,0,1,0,0,76,50,17,50,50,-2,-2,-1,-2,-1,-1,-1,-1,0,"Yes, I could see and hear the ad",0,1,-0.296329826116562,0,0,81,22,32,-1,-1,-1,-1,0,-1,-1,-1,0,1,0,1,0,"Trans-Equality",1,0,-0.726576924324036,1,"",4,8,8,15,"No",1,44,"june20_11554","june20_34",-1.05914843082428,1,-1.63104308472557,-1.27099687785371,-1.67822869766943,-2,0,-0.413220837014379,-0.816202734445365,TRUE,-0.453103620374705
"66645",14848,58,"D","African American",1,1,0,0,1,0,0,1,0,2,3,0,0,1,0,1,0,0,3,50,50,50,50,50,2,0,1,0,1,3,0.252814114093781,"",2,2,50,50,50,1,0,1,1,1,1,1,2,2,42,31,50,13,71,1,1,1,2,1,0,1,2,1,1,1,2,50,31,50,50,50,1,1,1,1,1,1,1,-1,1,"",0,1,-0.314975619316101,2,2,50,50,50,2,2,2,2,2,2,2,-2,2,1,1,2,1,"Recycling",1,0,1.37442350387573,0,"Against",NA,NA,NA,1,"No",0,43,"june20_11578","june20_307",0.636726140975952,0,0.673060275127777,0.170834111194257,0.755395110181884,2.5,2,1.04143583876196,1.0006274528355,FALSE,0.389651630489064
"66646",44547,22,"N","African American",0,1,0,0,1,0,0,0,0,3,3,0,2,2,2,2,2,-2,3,50,50,50,50,50,0,0,1,1,1,0,1.02063810825348,"",3,3,50,50,61,1,0,2,1,2,2,1,3,3,50,50,50,38,50,1,1,1,1,2,1,1,1,1,1,3,3,45,50,50,50,50,1,0,1,1,1,1,1,2,1,"Yes, I could see and hear the ad",2,1,-0.493952691555023,3,3,50,50,50,1,1,1,1,1,1,1,1,1,1,1,2,1,"Recycling",1,0,0.447174578905106,0,"Against",NA,NA,NA,2,"No",0,43,"june20_11578","june20_307",0.636726140975952,1,1.38337605892134,1.45949433938982,1.3818989718516,3,3,2.46930807375203,1.0006274528355,FALSE,0.339362156333077
"66650",19868,40,"D","Hispanic",0,0,0,1,1,1,0,1,0,3,2,1,-1,0,1,1,1,0,3,100,80,60,60,89,0,0,1,1,1,2,0.739206731319427,"",0,0,50,50,50,0,0,0,0,0,0,1,3,3,100,35,50,50,50,0,0,0,0,0,0,0,0,0,1,0,0,50,50,50,50,50,0,0,0,0,0,0,0,0,0,"Yes, I could see and hear the ad",1,1,-0.682037174701691,0,0,50,50,50,-1,-1,0,-1,1,0,-1,0,-1,1,1,0,0,"Recycling",1,0,-0.896892905235291,0,"In Favor",NA,NA,NA,3,"No",0,43,"june20_11600","june20_342",0.161447152495384,0,-0.439186914966468,0.802599188337112,-0.0961481004795024,2.5,0,0.0805928685064935,0.559228919758662,FALSE,-0.837070750894994
"66656",24523,25,"D","African American",1,1,0,0,0,1,1,1,0,3,3,0,0,0,0,0,0,0,1,50,51,50,50,49,0,0,1,1,1,2,0.145074188709259,"",2,3,50,50,50,-2,-2,0,0,0,0,1,3,3,50,50,50,50,50,-2,-2,0,-1,1,0,0,1,-2,1,1,3,50,50,50,50,90,-2,-1,0,-1,1,0,0,0,0,"Yes, I could see and hear the ad",1,1,0.792713403701782,1,3,50,50,50,-2,-2,0,-2,1,0,1,0,0,1,0,3,0,"Recycling",1,0,-6.6307687118794e-10,0,"In Favor",NA,NA,NA,3,"No",0,43,"june20_11661","june20_149",0.145074188709259,0,0.160466882658202,-0.0845401336505679,-0.0961481004795024,3,2.5,0.547622133241092,-1.30883732249572,FALSE,-0.258150551015535
"66657",5242,23,"D","African American",1,1,0,0,0,1,0,1,0,-2,3,0,1,-2,-1,1,1,-1,2,100,100,100,49,100,3,0,1,1,0,3,0.954482734203339,"",0,0,50,50,50,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,100,50,100,50,50,0,-1,1,0,1,1,1,2,1,"Yes, I could see and hear the ad",2,1,-0.989823043346405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,"Trans-Equality",1,0,-0.856932401657104,1,"",10,10,10,8,"No",0,43,"june20_11664","june20_201",0.954482734203339,0,-0.439186914966468,0.757564978403057,-0.0961481004795024,0.5,0,0.0270239869339474,0.559228919758662,TRUE,-0.796474634585015
"66659",22641,41,"D","African American",1,1,0,0,1,1,1,1,0,2,2,-2,-1,-1,1,1,-2,-1,-3,100,21,50,50,90,0,2,1,1,1,3,-0.0622336752712727,"",2,2,100,65,92,0,-1,1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,-2,96,0,8,50,65,-1,-1,0,-1,1,-2,-1,-2,0,"Yes, I could see and hear the ad",-2,1,-0.486071079969406,2,1,100,50,50,-1,1,-1,-1,1,-2,0,0,0,1,0,3,0,"Recycling",1,0,-0.557232141494751,0,"Against",NA,NA,NA,0,"No",0,4,"june20_11716","june20_122",-0.0622336752712727,0,0.287577511966897,-0.104168044450498,0.223331852035167,2,2,-0.413220837014379,0.0665943317083116,FALSE,0.335215569704586
"66666",453,58,"N","Caucasian",1,0,1,0,1,1,1,0,0,0,0,-1,-1,-2,0,-2,0,0,-1,59,43,44,50,84,1,0,1,1,0,1,-0.445419549942017,"",0,1,66,50,50,-2,-2,0,-2,0,1,1,0,1,50,53,47,40,75,-1,-2,-2,0,0,1,0,0,-2,1,0,2,70,50,40,50,81,-1,-1,-2,0,0,0,1,1,-1,"Yes, I could see and hear the ad",0,1,0.495680123567581,0,1,65,50,50,-1,-1,-2,0,0,0,1,1,-2,1,1,3,1,"Trans-Equality",1,0,-0.763603746891022,1,"",5,5,NA,5,"Yes",1,17,"june20_11831","june20_275",-0.359344929456711,1,-0.481231939477638,-0.664361874620708,-0.325151924813383,0,0.5,-0.907034542535251,-1.30883732249572,TRUE,0.0699333707650935
"66668",48190,31,"D","African American",1,1,0,0,0,1,0,1,0,1,2,0,1,1,2,2,1,-1,2,100,65,52,66,91,0,1,1,0,0,-2,0.723774075508118,"",-3,-2,96,78,50,1,0,1,0,-2,0,1,3,-2,100,50,96,86,100,1,2,1,1,-2,0,0,-2,1,1,1,-2,50,77,97,75,87,0,-1,2,2,2,1,1,1,1,"No video appeared for me",0,1,-0.0991340950131416,-3,3,50,100,50,2,2,2,2,2,0,-2,2,-2,1,1,1,1,"Trans-Equality",1,0,-0.0263628177344799,1,"",10,10,10,7,"No",0,31,"june20_11833","june20_185",0.723774075508118,0,-1.01372003167456,1.21863704070995,-0.100792801953718,1.5,-2.5,1.50846510349656,1.0006274528355,TRUE,-0.79822445684445
"66670",3113,65,"D","African American",0,1,0,0,0,0,1,1,0,1,0,1,-1,-1,-1,-1,0,1,-1,100,77,66,82,100,1,4,1,1,0,3,-0.249523118138313,"",1,1,97,55,58,-1,-1,0,-1,0,-1,1,-1,1,100,50,50,86,99,-2,-2,-1,-2,-1,0,-1,-1,-1,1,0,0,100,18,54,50,100,-1,-1,-1,-1,-2,0,-1,-1,1,"Yes, I could see and hear the ad",0,1,-0.86470890045166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,"Trans-Equality",1,0,0.284503400325775,1,"",5,NA,6,27,"No",0,35,"june20_11853","june20_337",-0.310220301151276,0,-0.48929014718122,-0.408480317649414,-0.496387619267807,0.5,1,-0.413220837014379,-0.374804201368527,TRUE,0.061779976959243
"66673",42591,55,"D","Caucasian",1,0,1,0,1,1,1,1,0,2,1,1,-1,-2,1,0,0,0,2,100,78,68,80,93,2,0,1,1,1,3,0.509193003177643,"",3,3,100,77,81,-1,-1,-1,1,1,1,1,3,1,100,46,70,50,75,-2,-2,0,-1,1,1,1,2,0,1,2,2,100,38,64,63,50,-1,-1,0,-1,1,1,0,1,0,"Yes, I could see and hear the ad",1,1,-1.06191420555115,3,2,50,50,50,-1,-1,0,-1,1,1,1,1,0,1,1,3,1,"Trans-Equality",1,0,-0.686221420764923,1,"",10,10,10,12,"No",0,3,"june20_11864","june20_348",0.635246872901917,0,0.826423765375744,0.375440896092899,0.636908555659999,1.5,3,-0.907034542535251,-0.374804201368527,TRUE,0.152775516426287
"66678",51426,48,"N","African American",1,1,0,0,1,1,0,0,0,0,-1,-1,1,0,-2,2,-2,-1,0,69,50,50,50,100,0,5,1,0,0,3,-0.146700754761696,"",1,2,50,50,50,-1,-1,-2,-2,0,2,1,0,1,74,50,55,93,96,-2,-1,-2,-2,-2,-2,0,-2,2,1,0,0,100,50,0,50,100,-1,-1,2,-2,-2,0,-1,-1,-2,"Yes, I could see and hear the ad",0,1,-1.69284605979919,0,-3,72,4,50,-2,-1,-2,-2,-2,-2,-2,-1,1,1,0,0,0,"Trans-Equality",1,0,-6.6307687118794e-10,1,"",4,6,10,13,"No",0,31,"june20_11888","june20_330",-1.09427976608276,1,-0.366627819870573,-0.607077627311662,-0.470287006490994,-0.5,1.5,1.01465139797569,-0.374804201368527,TRUE,0.215707981396242
"66679",4929,81,"D","African American",1,1,0,0,1,1,1,1,0,3,2,1,-2,-2,-2,-2,-2,2,-3,100,0,0,0,80,0,5,1,0,0,3,-1.46521818637848,"",3,3,50,50,20,-2,-1,0,-2,-1,-1,1,2,1,100,0,65,50,100,-2,-2,-2,-2,1,-1,-1,0,-1,1,1,2,50,1,51,60,78,-2,-2,-1,-2,0,-1,-1,0,-1,"Yes, I could see and hear the ad",1,1,-0.044208038598299,3,2,90,85,50,-1,-1,-1,-2,1,1,1,1,0,1,0,1,0,"Trans-Equality",1,0,-0.852451920509338,1,"",8,8,8,10,"Yes",0,1,"june20_11948","june20_278",-0.245085120201111,0,-0.380037138102147,-2.20418503402838,-0.989625682469023,2.5,3,-1.37406380726985,-0.816202734445365,TRUE,0.806715348757027
"66682",39417,19,"N","Hispanic",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,0,0,1,0,0,0,-0.304703414440155,"",3,3,50,50,50,-2,-2,1,-2,-2,-1,1,1,1,50,50,50,50,50,0,-1,-1,-1,2,0,-1,2,-1,1,0,0,50,47,50,79,50,-1,2,0,-2,-2,1,-1,0,-1,"I could hear the ad, but the video did not work",1,1,-0.777778029441833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Recycling",1,0,1.65587842464447,0,"In Favor",NA,NA,NA,0,"No",1,44,"june20_11994","june20_267",-0.648249089717865,1,-0.403844925854803,-0.0845401336505679,-1.02884471516223,0,3,0.547622133241092,-1.30883732249572,FALSE,-0.84247275921633
"66696",44215,43,"R","Hispanic",1,0,0,1,1,1,1,0,1,0,-2,1,-2,-2,1,-2,-2,0,0,50,50,50,50,100,-1,4,1,1,1,-2,-0.8327357172966,"",1,1,50,50,5,-2,1,0,0,-2,-2,1,1,0,27,50,61,100,100,-2,-2,0,0,0,0,0,-1,0,1,-1,-1,18,32,50,50,50,-2,-2,0,0,0,-1,0,-2,-1,"Yes, I could see and hear the ad",-1,1,0.566012263298035,-1,1,50,50,29,-2,-2,-2,-1,-1,0,-1,-1,1,1,0,3,0,"Trans-Equality",1,0,1.05231785774231,1,"",10,5,10,16,"No",0,8,"june20_12270","june20_50",-0.8327357172966,0,-0.858690342261281,-0.870290778984972,-0.982945868491884,-1,1,-1.37406380726985,0.169066441655336,TRUE,-0.398926897492888
