"","id","vf_age","vf_party","vf_racename","vf_female","vf_black","vf_white","vf_hispanic","vf_vg_14","vf_vg_12","vf_vg_10","vf_democrat","vf_republican","miami_trans_law_t0","miami_trans_law2_t0","gender_norm_daugher_t0","gender_norm_looks_t0","gender_norm_rights_t0","gender_norms_sexchange_t0","gender_norms_moral_t0","gender_norms_abnormal_t0","gender_norm_trans_moral_wrong_t0","ssm_t0","therm_obama_t0","therm_gay_t0","therm_trans_t0","therm_marijuana_t0","therm_afams_t0","ideology_t0","religious_t0","respondent_t0","exposure_gay_t0","exposure_trans_t0","pid_t0","scale_for_blocking_t0","survey_language_t0","miami_trans_law_t1","miami_trans_law2_t1","therm_obama_t1","therm_trans_t1","therm_marijuana_t1","gender_norm_looks_t1","gender_norm_rights_t1","gender_norm_sexchange_t1","gender_norm_moral_t1","gender_norm_abnormal_t1","gender_norm_trans_moral_wrong_t1","respondent_t1","miami_trans_law_t2","miami_trans_law2_t2","therm_obama_t2","therm_jbush_t2","therm_trans_t2","therm_police_t2","therm_firefighters_t2","gender_norm_looks_t2","gender_norm_rights_t2","gender_norm_moral_t2","gender_norm_dress_t2","gender_norm_sexchange_t2","gender_norm_abnormal_t2","gender_norm_trans_moral_wrong_t2","trans_teacher_t2","trans_bathroom_t2","respondent_t2","miami_trans_law_withdef_t3","miami_trans_law2_withdef_t3","therm_obama_t3","therm_jbush_t3","therm_trans_t3","therm_police_t3","therm_firefighters_t3","gender_norm_looks_t3","gender_norm_rights_t3","gender_norm_moral_t3","gender_norm_dress_t3","gender_norm_sexchange_t3","gender_norm_abnormal_t3","gender_norm_trans_moral_wrong_t3","trans_teacher_t3","trans_bathroom_t3","trans_ad_displayed_t3","trans_law_post_ad_t3","respondent_t3","nfc_t3","miami_trans_law_withdef_t4","miami_trans_law2_withdef_t4","therm_obama_t4","therm_trans_t4","therm_mousavi_t4","gender_norm_looks_t4","gender_norm_rights_t4","gender_norm_moral_t4","gender_norm_dress_t4","gender_norm_sexchange_t4","gender_norm_abnormal_t4","gender_norm_trans_moral_wrong_t4","trans_teacher_t4","trans_bathroom_t4","respondent_t4","marijuana_pread1","marijuana_pread2","marijuana_postad","exp_actual_convo","contacted","survey_language_es","sdo_scale","treat_ind","canvass_recycling_rating","canvass_trans_ratingstart","canvass_trans_ratingsecond","canvass_trans_ratingend","canvass_minutes","canvasser_experience","canvasser_trans","canvasser_id","hh_id","block_ind","cluster_level_t0_scale_mean","vf_independent","all.dvs.t1","trans.tolerance.dv.t0","trans.tolerance.dv.t1","miami_trans_law_t0_avg","miami_trans_law_t1_avg","gender_nonconformity_t0","gender_nonconformity_t1","treatment.delivered","t1.resid"
"68063",57488,55,"R","Hispanic",0,0,0,1,1,1,1,0,1,-3,-3,2,-2,-2,-1,-2,-2,NA,-3,0,50,50,50,50,-3,4,1,1,0,-2,-2.01648998260498,"EN",-3,-3,0,50,50,-2,-2,-2,-2,-2,-2,1,-3,0,0,50,50,95,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-3,-3,0,50,50,50,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,"Yes, I could see and hear the ad",-3,1,0.743455052375793,-3,-3,0,50,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,2,1,"Recycling",1,0,0,0,"Against",NA,NA,NA,2,"No",0,8,"june6_4634","june6_5",-2.01648998260498,0,-2.42528922779649,-1.37581333078896,-1.79923452180227,-3,-3,-1.37406380726985,-1.30883732249572,FALSE,-0.408411572586194
"68068",35990,69,"R","Caucasian",0,0,1,0,1,1,1,0,1,0,0,0,-1,-2,0,-1,-1,NA,-2,28,39,39,28,69,-2,1,1,1,0,-2,-1.16191637516022,"EN",2,2,25,25,10,-2,-2,0,-1,-1,-1,1,1,2,30,75,30,50,50,-2,-2,-1,-2,0,-1,-1,0,0,1,2,2,50,50,35,50,90,-2,-1,-1,-2,0,-1,0,0,-1,"Yes, I could see and hear the ad",1,1,0.651503920555115,2,2,20,20,50,-2,-1,-1,-2,0,-2,-1,0,-2,1,0,-3,0,"Recycling",1,0,0,0,"Against",NA,NA,NA,1,"No",0,10,"june6_4822","june6_27",-1.26789116859436,0,-0.640930015691009,-0.730430388283001,-0.993959852741409,0,2,-0.907034542535251,-1.30883732249572,FALSE,-0.244954959596715
"68069",57154,57,"Other Party","Hispanic",1,0,0,1,1,1,1,0,0,2,0,0,-2,-2,-2,-2,-1,NA,-3,26,56,43,19,73,-2,5,1,1,0,-1,-1.3738659620285,"EN",2,2,44,41,16,-2,-2,-2,-1,-1,-1,1,1,1,46,50,27,66,50,-2,-2,0,-2,-2,-2,0,0,0,1,2,2,33,50,20,50,97,-2,-2,-1,-2,-2,-2,-1,-1,0,"Yes, I could see and hear the ad",-2,1,-1.49652004241943,2,2,25,50,30,-2,-2,-2,-2,-2,-2,-2,0,-1,1,0,1,0,"Recycling",1,0,0,0,"Against",NA,NA,NA,1,"No",0,10,"june6_4822","june6_27",-1.26789116859436,0,-0.807816258437457,-1.44527835074482,-1.21337075573948,1,2,-1.37406380726985,-1.30883732249572,FALSE,-0.0552648212569323
"68074",55631,51,"R","Hispanic",1,0,0,1,1,1,1,0,1,0,0,-1,-1,-1,0,-1,1,NA,-2,8,26,26,19,50,0,4,1,1,0,-2,-1.01736927032471,"EN",0,-1,30,43,50,-2,0,0,-1,0,0,1,1,0,31,50,75,91,100,-2,-2,0,-2,0,1,1,-1,0,1,0,3,3,100,40,68,94,-2,-2,-2,-2,0,2,0,-1,0,"Yes, I could see and hear the ad",0,1,-0.875410676002502,0,2,5,57,29,-2,-2,0,-2,0,1,0,-2,0,1,0,-1,0,"Recycling",1,0,0,0,"",NA,NA,NA,0,"Yes",1,42,"june6_494","june6_40",-1.01736927032471,0,-0.777687158584758,-0.352325667843979,-0.385412034865102,0,-0.5,-0.413220837014379,-0.323568146395015,FALSE,0.118588493908018
"68077",8687,18,"D","Hispanic",0,0,0,1,0,0,0,1,0,-1,0,1,1,-1,1,0,-1,NA,2,70,50,45,70,50,1,0,1,1,0,1,-0.0810422375798225,"EN",3,0,75,30,50,-1,-1,2,0,-1,1,1,3,0,60,37,40,46,75,-1,-2,0,1,2,-1,1,1,-1,1,2,2,50,50,45,43,75,1,-1,1,0,2,-1,0,1,0,"Yes, I could see and hear the ad",1,1,0.759058475494385,3,2,50,40,30,-1,0,0,-1,2,-1,1,1,0,1,1,3,1,"Recycling",1,0,0,0,"In Favor",NA,NA,NA,4,"No",0,49,"june6_5023","june6_68",-0.64210444688797,0,0.0398803508689383,-0.15322161625569,0.0853139027290252,-0.5,1.5,0.520837692454819,-0.374804201368527,FALSE,0.0458185208303679
"68078",66557,41,"Other Party","Hispanic",0,0,0,1,0,0,0,0,0,3,3,0,0,-1,1,2,-1,NA,3,29,50,50,10,50,0,0,1,1,1,-1,0.427670538425446,"EN",3,3,50,50,50,1,1,2,2,0,2,1,3,3,40,33,50,30,100,0,-1,2,0,2,-1,2,2,2,1,3,3,45,44,50,32,50,0,-1,2,0,1,-1,2,2,2,"Yes, I could see and hear the ad",3,1,1.15859818458557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"Trans-Equality",1,0,0,1,"",10,10,10,7,"Yes",0,13,"june6_5031","june6_189",0.427670538425446,0,1.21334788414132,0.415087916167702,1.16229030012979,3,3,0.0538084277202204,1.49326204088585,TRUE,0.650494327334799
"68085",52094,55,"R","Caucasian",0,0,1,0,1,1,1,0,1,3,3,0,1,0,2,1,1,NA,3,92,100,100,66,100,0,1,1,1,0,0,1.14475750923157,"EN",3,3,50,81,50,1,1,1,1,1,1,1,3,2,94,71,75,50,50,1,1,2,0,1,1,1,2,1,1,3,3,89,28,88,29,50,1,1,1,1,1,1,1,1,0,"Yes, I could see and hear the ad",1,1,0.242156475782394,3,3,82,91,50,1,1,1,1,1,1,1,1,1,1,0,1,0,"Recycling",1,0,0,0,"In Favor",NA,NA,NA,4,"No",1,47,"june6_5133","june6_265",1.27177083492279,0,1.14214212746028,1.51584880610904,1.03981827406931,3,3,1.01465139797569,1.49326204088585,FALSE,-0.265265365280845
"68102",66399,42,"D","Hispanic",0,0,0,1,1,1,1,1,0,2,2,1,1,0,1,0,1,NA,3,94,100,86,22,81,2,1,1,0,0,3,0.835191905498505,"EN",2,2,88,50,10,1,-1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Recycling",1,0,0,0,"In Favor",NA,NA,NA,3,"No",0,49,"june6_5417","june6_232",0.835191905498505,0,0.50952093618556,0.846542365707746,0.530355761190219,2,2,1.01465139797569,0.50799286478515,FALSE,-0.261542470307296
"68114",23387,34,"N","Hispanic",0,0,0,1,0,1,0,0,0,2,2,-2,-2,-2,2,-2,0,NA,0,50,50,50,0,50,0,1,1,1,0,0,-0.392558008432388,"EN",3,3,50,50,50,2,2,-2,0,0,0,1,3,3,100,100,50,100,100,2,-2,2,2,2,0,2,2,2,1,3,3,50,50,50,100,50,2,-2,2,2,2,0,2,0,0,"Yes, I could see and hear the ad",3,1,1.38034677505493,3,3,50,50,0,-2,-2,0,-2,2,0,0,0,-1,1,0,3,0,"Recycling",1,0,0,0,"In Favor",NA,NA,NA,1,"No",1,19,"june6_5664","june6_122",-0.16389012336731,1,-0.00996265110799648,-0.0897660715362252,-0.462358055806563,2,3,-1.37406380726985,2.42729516201304,FALSE,-0.392048908030813
"68115",5294,37,"D","Hispanic",1,0,0,1,0,1,0,1,0,3,3,-2,-2,-2,1,0,0,NA,3,0,50,50,0,50,0,0,1,1,0,-2,0.0647777691483498,"EN",3,3,50,50,50,-2,-1,2,0,1,0,1,2,2,100,100,50,50,100,2,-2,0,0,2,0,1,1,1,1,2,2,95,50,50,10,50,0,-2,0,-2,1,1,0,0,0,"Yes, I could see and hear the ad",0,1,0.271631687879562,3,3,50,50,0,-2,-2,0,-2,2,0,0,0,-1,1,0,2,0,"Recycling",1,0,0,0,"In Favor",NA,NA,NA,2,"No",1,19,"june6_5664","june6_122",-0.16389012336731,0,0.728724982186963,0.168221142251428,0.4923858652043,3,3,-1.37406380726985,-0.816202734445365,FALSE,0.119447159617225
